num_players,num_rounds,round_index,pairs
16,11,1,"(0,6);(1,11);(2,10);(3,4);(5,15);(7,8);(9,12);(13,14)"
16,11,2,"(0,4);(1,8);(2,5);(3,10);(6,14);(7,13);(9,11);(12,15)"
16,11,3,"(0,10);(1,15);(2,6);(3,12);(4,11);(5,7);(8,13);(9,14)"
16,11,4,"(0,9);(1,4);(2,11);(3,6);(5,10);(7,14);(8,15);(12,13)"
16,11,5,"(0,14);(1,6);(2,8);(3,11);(4,13);(5,9);(7,15);(10,12)"
16,11,6,"(0,11);(1,9);(2,13);(3,5);(4,8);(6,15);(7,12);(10,14)"
16,11,7,"(0,8);(1,13);(2,12);(3,15);(4,14);(5,11);(6,10);(7,9)"
16,11,8,"(0,12);(1,14);(2,4);(3,7);(5,6);(8,10);(9,13);(11,15)"
16,11,9,"(0,15);(1,7);(2,3);(4,10);(5,13);(6,9);(8,11);(12,14)"
16,11,10,"(0,2);(1,5);(3,13);(4,12);(6,11);(7,10);(8,9);(14,15)"
16,12,0,"(0,2);(1,10);(3,14);(4,6);(5,9);(7,15);(8,13);(11,12)"
16,12,1,"(0,5);(1,7);(2,4);(3,15);(6,12);(8,10);(9,13);(11,14)"
16,12,2,"(0,3);(1,13);(2,14);(4,12);(5,7);(6,15);(8,11);(9,10)"
16,12,3,"(0,6);(1,2);(3,12);(4,15);(5,8);(7,9);(10,14);(11,13)"
16,12,4,"(0,12);(1,11);(2,6);(3,4);(5,15);(7,14);(8,9);(10,13)"
16,12,5,"(0,14);(1,4);(2,13);(3,9);(5,12);(6,8);(7,10);(11,15)"
16,12,6,"(0,8);(1,15);(2,12);(3,7);(4,10);(5,6);(9,11);(13,14)"
16,12,7,"(0,9);(1,8);(2,3);(4,14);(5,11);(6,10);(7,12);(13,15)"
16,12,8,"(0,10);(1,5);(2,8);(3,13);(4,9);(6,14);(7,11);(12,15)"
16,12,9,"(0,13);(1,9);(2,10);(3,5);(4,11);(6,7);(8,15);(12,14)"
16,12,10,"(0,15);(1,14);(2,5);(3,6);(4,8);(7,13);(9,12);(10,11)"
